

SWITCH s1

 cookie=0x0, duration=66.630s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:0e,dl_dst=00:00:00:00:00:72 actions=output:"s1-eth101"
 cookie=0x0, duration=66.100s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:79,dl_dst=00:00:00:00:00:15 actions=output:"s1-eth21"
 cookie=0x0, duration=65.990s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:0f,dl_dst=00:00:00:00:00:73 actions=output:"s1-eth101"
 cookie=0x0, duration=65.279s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:7a,dl_dst=00:00:00:00:00:16 actions=output:"s1-eth22"
 cookie=0x0, duration=65.136s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:10,dl_dst=00:00:00:00:00:74 actions=output:"s1-eth101"
 cookie=0x0, duration=64.445s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:7b,dl_dst=00:00:00:00:00:17 actions=output:"s1-eth23"
 cookie=0x0, duration=64.284s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:11,dl_dst=00:00:00:00:00:75 actions=output:"s1-eth101"
 cookie=0x0, duration=63.555s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:7c,dl_dst=00:00:00:00:00:18 actions=output:"s1-eth24"
 cookie=0x0, duration=63.431s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:12,dl_dst=00:00:00:00:00:76 actions=output:"s1-eth101"
 cookie=0x0, duration=62.794s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:7d,dl_dst=00:00:00:00:00:19 actions=output:"s1-eth25"
 cookie=0x0, duration=62.577s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:13,dl_dst=00:00:00:00:00:77 actions=output:"s1-eth101"
 cookie=0x0, duration=61.907s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:7e,dl_dst=00:00:00:00:00:1a actions=output:"s1-eth26"
 cookie=0x0, duration=61.725s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:14,dl_dst=00:00:00:00:00:78 actions=output:"s1-eth101"
 cookie=0x0, duration=61.140s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:7f,dl_dst=00:00:00:00:00:1b actions=output:"s1-eth27"
 cookie=0x0, duration=60.869s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:15,dl_dst=00:00:00:00:00:79 actions=output:"s1-eth101"
 cookie=0x0, duration=60.272s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:80,dl_dst=00:00:00:00:00:1c actions=output:"s1-eth28"
 cookie=0x0, duration=60.233s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:16,dl_dst=00:00:00:00:00:7a actions=output:"s1-eth101"
 cookie=0x0, duration=59.485s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:81,dl_dst=00:00:00:00:00:1d actions=output:"s1-eth29"
 cookie=0x0, duration=59.374s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:17,dl_dst=00:00:00:00:00:7b actions=output:"s1-eth101"
 cookie=0x0, duration=58.641s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:82,dl_dst=00:00:00:00:00:1e actions=output:"s1-eth30"
 cookie=0x0, duration=58.309s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:18,dl_dst=00:00:00:00:00:7c actions=output:"s1-eth101"
 cookie=0x0, duration=57.830s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:83,dl_dst=00:00:00:00:00:1f actions=output:"s1-eth31"
 cookie=0x0, duration=57.671s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:19,dl_dst=00:00:00:00:00:7d actions=output:"s1-eth101"
 cookie=0x0, duration=57.002s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:84,dl_dst=00:00:00:00:00:20 actions=output:"s1-eth32"
 cookie=0x0, duration=56.818s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:1a,dl_dst=00:00:00:00:00:7e actions=output:"s1-eth101"
 cookie=0x0, duration=56.175s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:85,dl_dst=00:00:00:00:00:21 actions=output:"s1-eth33"
 cookie=0x0, duration=55.964s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:1b,dl_dst=00:00:00:00:00:7f actions=output:"s1-eth101"
 cookie=0x0, duration=55.354s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:86,dl_dst=00:00:00:00:00:22 actions=output:"s1-eth34"
 cookie=0x0, duration=55.111s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:1c,dl_dst=00:00:00:00:00:80 actions=output:"s1-eth101"
 cookie=0x0, duration=54.523s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:87,dl_dst=00:00:00:00:00:23 actions=output:"s1-eth35"
 cookie=0x0, duration=54.256s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:1d,dl_dst=00:00:00:00:00:81 actions=output:"s1-eth101"
 cookie=0x0, duration=53.696s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:88,dl_dst=00:00:00:00:00:24 actions=output:"s1-eth36"
 cookie=0x0, duration=53.403s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:1e,dl_dst=00:00:00:00:00:82 actions=output:"s1-eth101"
 cookie=0x0, duration=52.868s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:89,dl_dst=00:00:00:00:00:25 actions=output:"s1-eth37"
 cookie=0x0, duration=52.764s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:1f,dl_dst=00:00:00:00:00:83 actions=output:"s1-eth101"
 cookie=0x0, duration=52.039s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:8a,dl_dst=00:00:00:00:00:26 actions=output:"s1-eth38"
 cookie=0x0, duration=51.911s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:20,dl_dst=00:00:00:00:00:84 actions=output:"s1-eth101"
